0,1
"They lived in Beersheba, Moladah, Hazar Shual,","Kandi bāba i Beri‐sheba n’i Molada n’i Hazari‐shuwali,"
"Parmashta, Arisai, Aridai and Vaizatha,","na Parimashita na Arisayi na Aridayi na Vayizata,"
"And there was evening, and there was morning—the fourth day.","Buragoroba, buraca: uwo n’umusi ugira kane."
"Hazar Gaddah, Heshmon, Beth Pelet,","na Hasari‐gada na Heshimoni na Beti‐peleti,"
"Elishama, Eliada and Eliphelet—nine in all.",na Elishama na Eliyada na Elifeleti ukw ar icenda.
"Bezer, Hod, Shamma, Shilshah, Ithran and Beera.",na Beseri na Hodi na Shama na Shilusha na Iturani na Beyera.
"But if anyone ignores this, they will themselves be ignored.","Ariko, namba har’ umuntu atabimenye, ntakabimenye."
"“Son of man, confront Jerusalem with her detestable practices","riti Mwana w’ umuntu, menyesha Yerusalemu ibizira vyaho,"
"Do not crave his delicacies, for that food is deceptive.","Ntugire umutima muke mu binoboye vyiwe, Kukw ar’ ivyo kurya vy’ uruhendo."
"The sons of Jether: Jephunneh, Pispah and Ara.",Bene Yeteri ni Yefune na Pisipa na Ara.
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"The temple servants: the descendants of Ziha, Hasupha, Tabbaoth,","Abahawe ibango ry’ibikorwa vy’urusengero n’aba: abo mu ba Siha, no mu ba Hasufa, no mu ba Tabayoti,"
"By his wife Hodesh he had Jobab, Zibia, Mesha, Malkam,","Avyarana na Hodeshi umugore wiwe Yobabu na Sibiya na Mesha na Malukamu,"
"His division numbers 59,300.",ingabo zāharūwe zabo zar’ ibihumbi mirongwitanu n’icenda n’amajana atatu.
Whoever hates me hates my Father as well.,Ūnyanka aba yanka na Data.
"of Pahath-Moab (through the line of Jeshua and Joab) 2,818","Abo mu ba Pahati‐mowabu, bandurutse kuri Yosuwa na Yowabu, n’ibihumbi bibiri n’amajana munani n’icumi n’umunani."
The word of the Lord came to me:,"Ijambo ry’Uhoraho ryongera kunzako,"
"of Pashhur 1,247",Abo mu ba Pashuri n’igihumbi n’amajana abiri na mirongwine n’indwi.
"from Issachar, Nethanel son of Zuar;",mu ba Isakari ni Netaneli mwene Suwari;
They left Moseroth and camped at Bene Jaakan.,"Bavudukayo, basagaza i Bene‐yakani."
All these are the beginning of birth pains.,arikw ivyo vyose n’itanguriro ryo kuramukwa.
"Abi-Albon the Arbathite, Azmaveth the Barhumite,","na Abi‐aluboni w’i Arubati, na Azimaveti w’i Bahurimu;"
"Saul’s uncle said, “Tell me what Samuel said to you.”","Se wabo wa Sauli aramwishura, at’ Enda se mbarira ivyo Samweli yababgiye."
"Gedor, Ahio, Zechariah and Mikloth.",na Gedori na Ahiyo na Zekari na Mikuloti.
The sons of Rachel: Joseph and Benjamin.,aba Rakeli ni Yosefu na Benyamini;
"But Lot said to them, “No, my lords, please!","Loti arabishura, at’ Oyaye mugenzi, s’ uko!"
“The Lord reigns for ever and ever.”,Uhoraho azokwama ahangamye ibihe bitazoshira.
“Meaningless! Meaningless!” says the Teacher. “Utterly meaningless! Everything is meaningless.”,"N’ubusa gusa, ni k’Umusiguzi agize; n’ubusa gusa, vyose n’ubusa."
Offer one in the morning and the other at twilight.,"Umwagazi umwe uz’ uwutange mu gitondo, uwundi ku mugoroba."
"The Lord said to Moses and Aaron,","Uhoraho abarira Mose na Aroni,"
"When King David heard all this, he was furious.","Maz’ umwami Dawidi yumvise ivyo vyose, araraka cane."
"that he lavished on us. With all wisdom and understanding,",ubgo yadusēsekarije mu bgenge bgose no kumenya:
"of Elam 1,254",Abo mu ba Elamu n’igihumbi n’amajana abiri na mirongwitanu na bane.
The word of the Lord came to me:,"Ijambo ry’Uhoraho ryongera kunzako,"
"from the tribe of Naphtali, Nahbi son of Vophsi;",Mu muryango wa Nafutali hatumwa Nakibi mwene Vofusi.
one male goat for a sin offering ;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
"His division numbers 45,650.",ingabo zāharūwe zabo zar’ ibihumbi mirongwine na bitanu n’amajana atandatu na mirongwitanu.
"the Lord said to me,","Uhoraho arambarira,"
Moses and Aaron did just as the Lord commanded them.,"Nuko Mose na Aroni bagenza bartyo, uk’ Uhoraho yabageze, aba ari ko bakora."
"The Gadites built up Dibon, Ataroth, Aroer,","Abagadi bubaka i Diboni, n’i Ataroti, n’i Aroweri,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
You hypocrites! Isaiah was right when he prophesied about you:,"Mwa ndyarya mwe, Yesaya yavuze neza ivyo yavugishwa n’Imana kuri mwebge,"
“You shall not give false testimony against your neighbor.,Kandi ntukāgirize ibinyoma mugenzawe.
"If you worship me, it will all be yours.”","nuko ni wampfukamira, ukansenga, ubgo bgose buraba ubgawe."
"Walk about Zion, go around her, count her towers,","Mugendagende kuri Siyoni, muwukikuze, Muharūre iminara yaho,"
But the temple he had spoken of was his body.,Ariko we yavuga urusengero rw’umubiri wiwe.
"You, however, must teach what is appropriate to sound doctrine.",Ariko weho uvuge ibihwanye na kwa kwigisha kuzima.
"So he said, “I am Abraham’s servant.",Ati Jewe nd’ umuntu wa Aburahamu.
"The word of the Lord came to me, saying,","Nukw ijambo ry’Uhoraho rinzako,"
Then the word of the Lord came to me:,"Maz’ ijambo ry’Uhoraho rinzako,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
Everyone will hate you because of me.,Muzoba mwanswe na bose babahōra izina ryanje.
“Treat the Midianites as enemies and kill them.,"ati Genda ukubagure Abamidiyani, ubice,"
Berekiah and Elkanah were to be doorkeepers for the ark.,Berekiya na Elukana ni bo bār’ abashibamyi b’iyo sandugu.
"After this, Paul left Athens and went to Corinth.","Hanyuma y’ivyo Paulo ava muri Atenayi, aja i Korinto."
"Ekron, with its surrounding settlements and villages;","Hāri na Ekuroni bo n’udusagara n’imihana bihakūkira,"
"for, “The earth is the Lord’s, and everything in it.”","kukw isi ar’iy’ Uhoraho, n’ibiyuzuye."
"Mishmannah the fourth, Jeremiah the fifth,","uwa kane ni Mishumana, uwa gatanu ni Yeremiya,"
"The sons of Ezer: Bilhan, Zaavan and Akan.",Kand’ aba ni bo bene Etseri: Biluhani na Zavani na Akani.
"Dannah, Kiriath Sannah (that is, Debir),","na Dana na Kiriyati‐sana, ari ho Debira,"
"The Lord said to Moses,","Uhoraho abarira Mose,"
"and the Lord said to him,","Uhoraho abarira Mose,"
And everyone went to their own town to register.,"Bose baja kwiyandikisha, umuntu wese aja mu gisagara cabo."
the ten stands with their ten basins;,"na vya bitereko ukw ar’ icumi, na vya bigarigari ukw ar’ icumi nyene vyari biteretse kuri vyo;"
"the ninth to Mattaniah, his sons and relatives 12","ubg’ icenda bgerekana Mataniya n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
But the word of God continued to spread and flourish.,"Arikw ijambo ry’Imana riragwira, riramamara."
"Baalath, and Tadmor in the desert, within his land,",n’i Bayalati n’i Tamari mu bugaragwa bgo mu gihugu c’Abayuda;
Offer these in addition to the regular morning burnt offering.,"Ivyo muze muvyongere ku kimazi co kwoswa co mu gitondo, ari co kimazi co kwoswa c’intasība."
"The sons of Levi: Gershon, Kohath and Merari.",Bene Lewi ni Gerushoni na Kohati na Merari.
Then the word of the Lord came to me:,"Ijambo ry’Uhoraho ryongera kunzako,"
"Thomas said to him, “My Lord and my God!”","Toma aramwishura, ati Mwami wanje, kandi Mana yanje."
Then Job replied:,"Maze Yobu arishura,"
"The Lord said to Moses in the Desert of Sinai,","Uhoraho abaririra Mose mu bugaragwa bg’i Sinayi,"
The Lord said to Moses:,"Uhoraho abarira Mose,"
"Come quickly to help me, my Lord and my Savior.","Tebuka untabare, Mwami, gakiza kanje."
So be very careful to love the Lord your God.,"Mugire umwete cane wo kubera maso ubugingo bganyu, kugira ngo mukunde Uhoraho Imana yanyu."
And because of his words many more became believers.,"Hizera abandi benshi baruta aba mbere, kuko bīyumviye ijambo ryiwe;"
The word of the Lord came to me:,"Maz’ ijambo ry’Uhoraho rinzako,"
"the white owl, the desert owl, the osprey,","na tinishemeti, n’ inkongori, n’ikinyakabaka;"
"Hoshaiah and half the leaders of Judah followed them,","Bakurikirwa na Hoshaya n’ igice kimwe c’abakuru b’Abayuda,"
Then Zophar the Naamathite replied:,"Maze Zofari w’i Nayama arishura,"
"Libnah, Ether, Ashan,","Hāri na Libuna na Eteri na Ashanu,"
Jesus sent him away at once with a strong warning:,"Aramwihanikiriza rwose, aca amurungika uwo mwanya,"
In that day— “Sing about a fruitful vineyard:,"Kur’ uwo musi bazovuga, bati Ni muririmbire uruzabibu rwa vino."
Hezekiah asked the priests and Levites about the heaps;,Maze Hezekiya abaza abaherezi n’Abalewi ivy’ ivyo birundo.
So King Solomon ruled over all Israel.,Umwami Salomo yar’ umwami w’Abisirayeli bose.
Everyone will be salted with fire.,"Kand’ umuntu wese azoryoshwa n’umuriro, nk’uk’ umunyu uryosha."
one male goat for a sin offering;,n’isuguru y’impene imwe kw ikimazi co gutangirwa ivyaha;
"The Lord said to Moses,","Uhoraho abarira Mose,"
For no word from God will ever fail.”,kukw ata jambo rivuye ku Mana ribura ububasha.
Peacemakers who sow in peace reap a harvest of righteousness.,Kand’ imbuto zo kugororoka zibibga mu mahoro n’ababanguranya.
And I gave Gilead to Makir.,Nuko mpa Abamakiri i Gileyadi.
"and so, somehow, attaining to the resurrection from the dead.",ngo kumbure nshike ku kuzuka kw’abapfuye.
You must be blameless before the Lord your God.,Ariko mweho muze mube abaroranye k’Uhoraho Imana yanyu.
of Arah 775,Abo mu ba Ara n’amajana ndwi na mirongwirindwi na batanu.
"Again the Lord spoke to Ahaz,","Uhoraho yongera kubarira Ahazi,"
You hate my instruction and cast my words behind you.,"K’ur’ inyankaguhanwa, Ugashiburira amajambo yanje inyuma yawe!"
"from the tribe of Zebulun, Gaddiel son of Sodi;",Mu muryango wa Zebuloni hatumwa Gadiyeli mwene Sodi.
"Then the Lord said to Moses,","Uhoraho yongera kubarira Mose,"
"but those who died in the plague numbered 24,000.",Abishwe n’ico kīza bār’ ibihumbi mirongwibiri na bine.
“What are you arguing with them about?” he asked.,"Arababaza, ati Mwariko murabahāririza ibiki?"
The angel of the Lord gave this charge to Joshua:,"Umumarayika w’Uhoraho yihanikiriza Yosuwa,"
"Then the man bowed down and worshiped the Lord ,","Uwo mugabo yunamika amaso, ahimbaza Uhoraho,"
"Then the Lord called Samuel. Samuel answered, “Here I am.”",Uhoraho ahamagara Samweli; na we ati Sabge!
Do not be misled: “Bad company corrupts good character.”,Ntimuzimire: kubana n’ababi kwonona ingeso nziza.
"The fortified towns were Ziddim, Zer, Hammath, Rakkath, Kinnereth,","Ibisagara bātwaye vyubakiwe inzitiro z’amabuye vyar’ ibi: Sidimu na Sera na Hamati na Rakati na Kinereti,"
Like a maniac shooting flaming arrows of death,"Nk’uk’ umusazi ashwiragiza ibishirīra N’imyampi vyo kwica,"
and forty silver bases—two under each frame.,na zo uzicurire ibitereko vyazo mirongwine mw ifeza: ibitereko bibiri‐bibiri bije musi y’urubaho rumwe‐rumwe.
Then the word of the Lord came to me:,"Maz’ ijambo ry’Uhoraho rinzako,"
"Dimnah and Nahalal, together with their pasturelands—four towns;","n’i Dimuna n’i Nahalali, bo n’ amaragiro bigendanye; vyar’ ibisagara bine."
"Shemuel son of Ammihud, from the tribe of Simeon;",mu muryango w’Abasimeyoni ni Shemuweli mwene Amihudi;
"Elam the fifth, Jehohanan the sixth and Eliehoenai the seventh.","uwa gatanu ni Elamu, uwa gatandatu ni Yehohanani, uw’ indwi ni Elihowenayi."
"When evening came, his disciples went down to the lake,","Buhwibiriye, abigishwa biwe bamanuka ku kiyaga,"
On the same day Moses commanded the people:,"Maze Mose agera abantu kur’ uwo musi,"
"Bethuel, Hormah, Ziklag,","n’i Betuweli n’i Horuma n’i Sikulagi,"
"and Judas Iscariot, who betrayed him.","na Yuda Isikaryota, ni we yamuguze. Aja mu nzu:"
At once they left their nets and followed him.,"Baca bareka insenga, baramukurikira."
"a lion, mighty among beasts, who retreats before nothing;","Ni vyo ibi: intambge, kukw ari yo irusha ibikōko vyose inkomezi, Kandi ntivira na kimwe mu nzira;"
of Hashum 223,Abo mu ba Hashumu n’amajana abiri na mirongwibiri na batatu.
"Daniel, Ginnethon, Baruch,","na Daniyeli na Ginetoni ni na Baruki,"
"“I will do whatever you say,” Ruth answered.","Aramwishura, at’ Ic’ umbgiye cose ndagikora."
for whoever is not against us is for us.,Kuk’ ūtar’ umwansi wacu ari mu ruhande rwacu.
"Then the Lord said to Moses,","Uhoraho abarira Mose,"
"and with each of the fourteen lambs, one-tenth.","iryo ku mwana w’intama umwe‐umwe mur’ abo, ukw ar’ icumi na bane, ribe ikigiracumi kimwe."
"Another of his disciples, Andrew, Simon Peter’s brother, spoke up,","Umwe mu bigishwa biwe, ni Andereya mwene nyina wa Simoni Petero, aramubgira,"
"through Asriel, the Asrielite clan; through Shechem, the Shechemite clan;","na Asiriyeli, ni we gishitsi c’inzu y’ Abasiriyeli; na Shekemu, ni we gishitsi c’inzu y’Abashekemu;"
"Abdon, Zikri, Hanan,","na Abudoni na Zikuri na Hanani,"
But not a hair of your head will perish.,Kandi ntihazohara agashatsi na kamwe ko mu mitwe yanyu.
"from the tribe of Benjamin, Palti son of Raphu;",Mu muryango wa Benyamini hatumwa Paluti mwene Rafu.
"Adah bore Eliphaz to Esau, Basemath bore Reuel,",Esau avyarana na Ada Elifazi; Basemati na we bavyarana Ruweli;
"“Agreed,” said Laban. “Let it be as you have said.”","Labani aramwishura, ati Ndavyemeye: bize bibe nk’uk’ uvuze."
Zadok his son and Ahimaaz his son.,"uwa Ahitubu ni Sadoki, uwa Sadoki ni Ahimasi."
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
You are my friends if you do what I command.,"Mur’ abakunzi banje, ni mwakora ivyo mbagera."
"Blessed are those who mourn, for they will be comforted.","Hahirwa abatuntuye, kukw ari bo bazokwirurwa."
"“His master answered, ‘You take charge of five cities.’","Uwo na we aramubarira, ati Nawe twara ibisagara bitanu."
"Ashan, Juttah and Beth Shemesh, together with their pasturelands.","n’i Ashani, n’i Beti‐shemeshi, bo n’amaragiro bigendanye;"
“Why don’t you judge for yourselves what is right?,Kandi namwe ubganyu n’iki kibabuza kugenzura ivyo kugororoka?
"The wise inherit honor, but fools get only shame.","Abanyabgenge bazoragwa icubahiro, Arikw isoni ni zo zizoba umugabane w’ibipfu."
Then Esther sent this reply to Mordecai:,"Maze Esiteri arabatuma yishura Moridekayi,"
"Benaiah the Pirathonite, Hiddai from the ravines of Gaash,","na Benaya w’i Piratoni, na Hidayi wo ku migezi y’i Gashi;"
"Avvim, Parah, Ophrah,","na Avimu na Para na Ofura,"
"Their territory included: Helkath, Hali, Beten, Akshaph,","Urubibe rwabo rwaca i Helikati n’i Hali n’i Beteni n’i Akishafu,"
They left Rissah and camped at Kehelathah.,"Bavudukayo, basagaza i Kehelata."
"And there was evening, and there was morning—the fifth day.","Buragoroba, buraca: uwo n’ umusi ugira gatanu."
"The Hittites replied to Abraham,","Abaheti bishura Aburahamu,"
"of Harim 1,017",Abo mu ba Harimu n’igihumbi n’icumi n’indwi.
"Elihoreph and Ahijah, sons of Shisha—secretaries; Jehoshaphat son of Ahilud—recorder;",Elihorefu na Ahiya bene Shisha bar’ abakarani; Yehoshafati mwene Ahiludi ni we yar’ umwanditsi w’ ivyaja biraba;
“Does Job fear God for nothing?” Satan replied.,"Maze Satani yishura Uhoraho, ati Mbeg’ ugira ngo Yobu yubahira Imana ubusa?"
Then Pilate took Jesus and had him flogged.,"Maze Pilato afata Yesu, aramukubitisha."
"(as he said through his holy prophets of long ago),","Nk’uko yavugiye mu kanwa k’abera yavugisha, bāhereye mbere na mbere,"
"The pillars of the heavens quake, aghast at his rebuke.","Inkingi z’ijuru ziradegezwa, Zumizwa no gukankamira kwayo."
“We who are Jews by birth and not sinful Gentiles,"Twebge mu kameremere kacu tur’ Abayuda, ntitur’ abanyavyaha bo mu banyamahanga."
"The Lord said to Moses,","Uhoraho abarira Mose,"
And they praised God because of me.,nuko bahimbaza Imana kubganje.
And all people will see God’s salvation.’ ”,Maz’ abafise umubiri bose bazobona agakiza k’Imana.
So the young prophet went to Ramoth Gilead.,Nuk’ uwo muvugishwa w’ umusore aragenda aja i Ramoti‐gileyadi.
“What should we do then?” the crowd asked.,"Ishengero riramubaza, riti None tugire dute?"
"Discretion will protect you, and understanding will guard you.","Amakenga azogushibamira, Ugutahura kuzokuzigama,"
"all flocks and herds, and the animals of the wild,","Intama zose n’inka, N’ibikōko vyo mw ishamba na vyo,"
And he also had seven sons and three daughters.,Kand’ avyara n’abahungu ndwi n’abakobga batatu.
"When Jair died, he was buried in Kamon.","Yayiri apfuye, bamuhamba i Kamoni."
of Binnui 648,Abo mu ba Binuwi n’ amajana atandatu na mirongwine n’umunani.
From heaven the Lord looks down and sees all mankind;,"Uhoraho yitegereza ari mw ijuru, Arāba abana b’abantu bose."
"the fifteenth to Bilgah, the sixteenth to Immer,","ubg’ icumi na gatanu Biluga, ubg’ icumi na gatandatu Imeri;"
for they loved human praise more than praise from God.,kuko bākunda icubahiro c’abantu kukirutisha icubahiro c’Imana.
“Count the Merarites by their clans and families.,"Ku vy’aba Merari na bo, ubaharūre nk’ukw imiryango yabo iri, nk’ukw amazu ya ba sekuruza ari;"
"Aijalon and Gath Rimmon, together with their pasturelands.","na Ayaloni na Gatirimoni, bo n’amaragiro bigendanye."
The word of the Lord came to me:,"Maz’ ijambo ry’Uhoraho rinzako,"
The believers at Lystra and Iconium spoke well of him.,yashimwa na bene Data b’i Lusitira no muri Ikoniyo.
And Noah did all that the Lord commanded him.,Nuko Nowa abigenza nk’uk’ Uhoraho yabimugeze vyose.
"The sons of Jehallelel: Ziph, Ziphah, Tiria and Asarel.",Bene Yehaleleli ni Zifu na Zifa na Tiriya na Asareli.
"So we arrived in Jerusalem, where we rested three days.",Dushitse i Yerusalemu turuhuka imisi itatu.
"Therefore, strengthen your feeble arms and weak knees.","Nuko mugorore amaboko acitse urudendevu, n’amavi aregarega:"
"Ishmerai, Izliah and Jobab were the sons of Elpaal.",na Ishimerayi na Izuliya na Yobabu ni bo bene Elipali.
"After three days the officers went throughout the camp,","Hashize imisi itatu, abagaba abantu banyuranganya aho bashagaje,"
"Then the whole Israelite community withdrew from Moses’ presence,","Nukw ikoraniro ryose ry’ Abisirayeli baragenda, bava imbere ya Mose."
"Hodiah, Hashum, Bezai,","na Hodiya na Hashumu na Bezayi,"
"the ninth to Jeshua, the tenth to Shekaniah,","ubg’ icenda Yeshuwa, ubg’ icumi Shekaniya;"
They left Mount Hor and camped at Zalmonah.,"Bavuduka kur’ uwo musozi Hori, basagaza i Salumona."
"His division numbers 41,500.",ingabo zāharūwe zabo zar’ ibihumbi mirongwine na kimwe n’amajana atanu.
you shall cut off her hand. Show her no pity.,"nya mugore muze mumuce igikonjo, ata kagongwe."
"and Abram (that is, Abraham).","na Aburamu, ari we Aburahamu."
"Go ahead, then, and complete what your ancestors started!",None ni mwuzurize ingero ya ba sogokuruza banyu.
Each door had two leaves—two hinged leaves for each door.,"amarebe yompi yar’ afise inzugi zibiri zisomana; irebe rimwe ryagira inzugi zibiri, irindi zindi zibiri."
The Lord was pleased that Solomon had asked for this.,Maze binezereza Uhoraho yuko Salomo asavye ivyo.
and to have authority to drive out demons.,no kugira ububasha bgo gusenda abadayimoni.
"See, I have told you ahead of time.",Rāba ndabibabgiye bitaraba.
"Mattaniah, Mattenai and Jaasu.","na Mataniya na Matenayi na Yahasu,"
"to those in Aroer, Siphmoth, Eshtemoa","n’ab’i Aroweri, n’ab’i Sifumoti, n’ab’i Eshitemowa;"
"The sons born to Hezron were: Jerahmeel, Ram and Caleb.",Kand’ abana Hesironi yavyaye ni Yerameyeli na Ramu na Kelubayi.
the king of Tirzah one thirty-one kings in all.,n’uw’i Tirusa. Bose na bose abo bami bari mirongwitatu n’umwe.
"The leaders of the people: Parosh, Pahath-Moab, Elam, Zattu, Bani,","Abakuru‐bakuru bo mu bantu n’aba: Paroshi na Pahati‐Mowabu na Elamu na Zatu na Bani,"
"And so after waiting patiently, Abraham received what was promised.",Ni ko vyamubereye: amaze kwihangana ahabga ivyasezeranywe.
"These were the clans of Issachar; those numbered were 64,300.","Ayo ni yo mazu y’aba Isakari, nk’ukw abāharūwe bari, ukw ar’ ibihumbi mirongwitandatu na bine n’amajana atatu."
cast lots with us; we will all share the loot”—,"Enda fadikanya natwe, Twese tugire umupfuko umwe:"
"from Dan, Ahiezer son of Ammishaddai;",mu ba Dani ni Ahiyeseri mwene Amishadayi;
"ruin and misery mark their ways,","Guhonnya no kubabaza biri mu nzira zabo,"
"Keros, Siaha, Padon,","no mu ba Kerosi, no mu ba Siyaha, no mu ba Padoni,"
The sights you see will drive you mad.,bitume musazwa n’ivyo amaso yanyu azobona biba.
"Righteousness exalts a nation, but sin condemns any people.","Ubugororotsi bushira ihanga hejuru, Arikw icaha gitukisha amoko."
