0,1
"Bethuel, Hormah, Ziklag,","n’i Betuweli n’i Horuma n’i Sikulagi,"
"Meshobab, Jamlech, Joshah son of Amaziah,","Aya mazina Meshobabu na Yamuleki na Yosha mwene Amaziya,"
"also Elioenai, Jaakobah, Jeshohaiah, Asaiah, Adiel, Jesimiel, Benaiah,",na Eliyowenayi na Yakoba na Yeshohaya na Asaya na Adiyeli na Yesimiyeli na Benaya;
"Micah his son, Reaiah his son, Baal his son,","uwa Shimeyi ni Mika, uwa Mika ni Reyaya, uwa Reyaya ni Bayali,"
"They waged war against the Hagrites, Jetur, Naphish and Nodab.",Bukeye batera Abahaguri na Yeturi na Nafisha na Nodabu;
"The sons of Levi: Gershon, Kohath and Merari.",Bene Lewi ni Gerushoni na Kohati na Merari.
"The sons of Kohath: Amram, Izhar, Hebron and Uzziel.",Bene Kohati ni Amuramu na Isihari na Heburoni na Uziyeli.
"Abishua the father of Bukki, Bukki the father of Uzzi,","Abishuwa avyara Buki, Buki avyara Uzi;"
"Uzzi the father of Zerahiah, Zerahiah the father of Meraioth,","Uzi avyara Zerahiya, Zerahiya avyara Merayoti;"
"Meraioth the father of Amariah, Amariah the father of Ahitub,","Merayoti avyara Amariya, Amariya avyara Ahitubu;"
"Ahitub the father of Zadok, Zadok the father of Ahimaaz,","Ahitubu avyara Sadoki, Sadoki avyara Ahimasi;"
"Ahimaaz the father of Azariah, Azariah the father of Johanan,","Ahimasi avyara Azariya, Azariya avyara Yohanani;"
"Azariah the father of Amariah, Amariah the father of Ahitub,","Azariya avyara Amariya, Amariya avyara Ahitubu;"
"Ahitub the father of Zadok, Zadok the father of Shallum,","Ahitubu avyara Sadoki, Sadoki avyara Shalumu;"
"Shallum the father of Hilkiah, Hilkiah the father of Azariah,","Shalumu avyara Hilukiya, Hilukiya avyara Azariya;"
"The sons of Levi: Gershon, Kohath and Merari.",Bene Lewi ni Gerushoni na Kohati na Merari.
"The sons of Kohath: Amram, Izhar, Hebron and Uzziel.",Bene Kohati ni Amuramu na Isihari na Heburoni na Uziyeli.
"Elkanah his son, Ebiasaph his son, Assir his son,","uwa Asiri ni Elukana, uwa Elukana ni Ebiyasafu, uwa Ebiyasafu ni Asiri;"
"The descendants of Elkanah: Amasai, Ahimoth,",Bene Elukana ni Amasayi na Ahimoti;
"Elkanah his son, Zophai his son, Nahath his son,","uwa Ahimoti ni Elukana, uwa Elukana ni Zofayi, uwa Zofayi ni Nahati;"
"Shimea his son, Haggiah his son and Asaiah his son.","uwa Uza ni Shimeya, uwa Shimeya ni Hagiya, uwa Hagiya ni Asaya."
"Bukki his son, Uzzi his son, Zerahiah his son,","uwa Abishuwa ni Buki, uwa Buki ni Uzi, uwa Uzi ni Zerahiya;"
"Meraioth his son, Amariah his son, Ahitub his son,","uwa Zerahiya ni Merayoti, uwa Merayoti ni Amariya, uwa Amariya ni Ahitubu;"
Zadok his son and Ahimaaz his son.,"uwa Ahitubu ni Sadoki, uwa Sadoki ni Ahimasi."
They were given Hebron in Judah with its surrounding pasturelands.,"babaha Heburoni mu ntāra y’Abayuda, n’amaragiro ahakikije;"
"Hilen, Debir,","n’i Hilene, n’i Debira;"
"Ashan, Juttah and Beth Shemesh, together with their pasturelands.","n’i Ashani, n’i Beti‐shemeshi, bo n’amaragiro bigendanye;"
"Jokmeam, Beth Horon,","na Yokimeyamu na Beti‐horoni,"
"Aijalon and Gath Rimmon, together with their pasturelands.","na Ayaloni na Gatirimoni, bo n’amaragiro bigendanye."
"from the tribe of Issachar they received Kedesh, Daberath,","ku vy’umuryango w’Abisakari babaha Kedeshi na Daberati,"
"Ramoth and Anem, together with their pasturelands;","na Ramoti na Anemu, bo n’amaragiro bigendanye;"
"from the tribe of Asher they received Mashal, Abdon,","ku vy’umuryango w’Abasheri babaha Mashali na Abudoni,"
"Hukok and Rehob, together with their pasturelands;","na Hukoki na Rehobu, bo n’amaragiro bigendanye;"
"Kedemoth and Mephaath, together with their pasturelands;","na Kedemoti na Mefati, bo n’amaragiro bigendanye;"
"Heshbon and Jazer, together with their pasturelands.","na Heshiboni na Yazeri, bo n’amaragiro bigendanye."
"Three sons of Benjamin: Bela, Beker and Jediael.","Bene Benyamini ni Bela na Bekeri na Yediyayeli, ukw ari batatu."
"His sister Hammoleketh gave birth to Ishhod, Abiezer and Mahlah.",Hamoleketi mushiki wa Gileyadi avyara Ishihodi na Abiyezeri na Mahula.
"The sons of Shemida were: Ahian, Shechem, Likhi and Aniam.",Bene Shemida ni Ahiyani na Shekemu na Likuhi na Aniyamu.
"Ladan his son, Ammihud his son, Elishama his son,","uwa Tahani ni Ladani, uwa Ladani ni Amihudi, uwa Amihudi ni Elishama,"
Nun his son and Joshua his son.,"uwa Elishama ni Nuni, uwa Nuni ni Yosuwa."
"The sons of Shomer: Ahi, Rohgah, Hubbah and Aram.",Bene Shomeri ni Ahi na Rohega na Yehuba na Aramu.
"The sons of Zophah: Suah, Harnepher, Shual, Beri, Imrah,",Bene Sofa ni Suwa na Haruneferi na Shuwali na Beri na Imura;
"Bezer, Hod, Shamma, Shilshah, Ithran and Beera.",na Beseri na Hodi na Shama na Shilusha na Iturani na Beyera.
"The sons of Jether: Jephunneh, Pispah and Ara.",Bene Yeteri ni Yefune na Pisipa na Ara.
"The sons of Ulla: Arah, Hanniel and Rizia.",Bene Ula ni Ara na Haniyeli na Risiya.
Nohah the fourth and Rapha the fifth.,"uwa kane ni Noha, uwa gatanu ni Rafa."
"The sons of Bela were: Addar, Gera, Abihud,","Abahungu ba Bela ni Adari na Gera na Abihudi,"
"Abishua, Naaman, Ahoah,","na Abishuwa na Namani na Ahowa,"
"Gera, Shephuphan and Huram.",na Gera na Shefufani na Huramu.
"By his wife Hodesh he had Jobab, Zibia, Mesha, Malkam,","Avyarana na Hodeshi umugore wiwe Yobabu na Sibiya na Mesha na Malukamu,"
By Hushim he had Abitub and Elpaal.,Kand’ abo yavyaye kuri Hushimu ni Abitubu na Elipali.
"Ahio, Shashak, Jeremoth,",arongera avyara na Ahiyo na Shashaki na Yeremoti.
"Zebadiah, Arad, Eder,","Kandi Zebadiya na Aradi na Ederi,"
"Michael, Ishpah and Joha were the sons of Beriah.",na Mikayeli na Ishipa na Yoha ni bo bene Beriya.
"Zebadiah, Meshullam, Hizki, Heber,","Kandi Zebadiya na Meshulamu na Hizuki na Heberi,"
"Ishmerai, Izliah and Jobab were the sons of Elpaal.",na Ishimerayi na Izuliya na Yobabu ni bo bene Elipali.
"Jakim, Zikri, Zabdi,","Kandi Yakimu na Zikuri na Zabudi,"
"Elienai, Zillethai, Eliel,","na Eliyenayi na Siletayi na Eliyeli,"
"Adaiah, Beraiah and Shimrath were the sons of Shimei.",na Adaya na Beraya na Shimurati ni bene Shimeyi.
"Ishpan, Eber, Eliel,","Kandi Ishupani na Eberi na Eliyeli,"
"Abdon, Zikri, Hanan,","na Abudoni na Zikuri na Hanani,"
"Hananiah, Elam, Anthothijah,","na Hananiya na Elamu na Anitotiya,"
Iphdeiah and Penuel were the sons of Shashak.,"na Ifudeya na Penuweli, ni bo bene Shashaki."
"Shamsherai, Shehariah, Athaliah,","Kandi Shamusherayi na Shehariya na Ataliya,"
"Jaareshiah, Elijah and Zikri were the sons of Jeroham.",na Yareshiya na Eliya na Zikuri ni bo bene Yerohamu.
"Gedor, Ahio, Zeker","na Gedori na Ahiyo na Zekeri,"
"The sons of Micah: Pithon, Melek, Tarea and Ahaz.",Bene Mika ni Pitoni na Meleki na Tareya na Ahazi.
Of the Shelanites : Asaiah the firstborn and his sons.,"N’abo mu ba Shiloni, uwa mbere ni Asaya n’abahungu biwe."
Of the Zerahites: Jeuel. The people from Judah numbered 690.,"N’abo muri bene Zera ni Yeweli n’ab’i wabo, amajana atandatu na mirongwicenda."
Of the priests: Jedaiah; Jehoiarib; Jakin;,"Kand’ abo mu baherezi ni Yedaya na Yehoyaribu na Yakini,"
"Gedor, Ahio, Zechariah and Mikloth.",na Gedori na Ahiyo na Zekari na Mikuloti.
"The sons of Micah: Pithon, Melek, Tahrea and Ahaz.",Bene Mika ni Pitoni na Meliki na Tareya na Ahazi.
"Shammoth the Harorite, Helez the Pelonite,","na Shamoti w’i Harori, na Helezi w’i Peloni;"
"Ira son of Ikkesh from Tekoa, Abiezer from Anathoth,","na Ira mwene Ikeshi w’i Tekowa, na Abiyezeri w’i Anatoti;"
"Sibbekai the Hushathite, Ilai the Ahohite,","na Sibekayi w’i Hushati, na Ilayi w’i Ahohi;"
"Maharai the Netophathite, Heled son of Baanah the Netophathite,","na Maharayi w’i Netofati, na Heleda mwene Bayana w’i Netofati nyene;"
"Hurai from the ravines of Gaash, Abiel the Arbathite,","na Urayi wo ku migezi y’i Gashi, na Abiyeli w’i Arubati;"
"Azmaveth the Baharumite, Eliahba the Shaalbonite,","na Azimaveti w’i Bahurimu, na Eliyaba w’i Shaliboni;"
"Ahiam son of Sakar the Hararite, Eliphal son of Ur,","na Ahiyamu mwene Sakari w’i Harari nyene, na Elifali mwene Uri;"
"Hepher the Mekerathite, Ahijah the Pelonite,","na Heferi w’i Mekerati, na Ahiya w’i Peloni;"
"Hezro the Carmelite, Naarai son of Ezbai,","na Hesiro w’i Karumeli, na Narayi mwene Ezubayi;"
"Joel the brother of Nathan, Mibhar son of Hagri,","na Yoweli murumuna wa Natani, na Mibuhari mwene Hagiri;"
"Ira the Ithrite, Gareb the Ithrite,","na Ira w’i Ituri, na Garebu w’i Ituri nyene;"
"Uriah the Hittite, Zabad son of Ahlai,","na Uriya Umuheti, na Zabadi mwene Ahulayi,"
"Hanan son of Maakah, Joshaphat the Mithnite,","na Hanani mwene Mayaka, na Yoshafati w’i Mituni;"
"Jediael son of Shimri, his brother Joha the Tizite,","na Yediyayeli mwene Shimuri, na murumuna we Yoha w’i Tisi;"
"Eliel, Obed and Jaasiel the Mezobaite.","na Eliyeli na Obedi, na Yasiyeli w’i Mezoba."
"Eluzai, Jerimoth, Bealiah, Shemariah and Shephatiah the Haruphite;","na Eluzayi na Yerimoti na Beyaliya na Shemariya, na Shefatiya w’i Harufu;"
"Elkanah, Ishiah, Azarel, Joezer and Jashobeam the Korahites;","bo na Elukana na Ishiya na Azareli na Yowezeri na Yashobeyamu, bo mu ba Kora;"
and Joelah and Zebadiah the sons of Jeroham from Gedor.,"bo na Yowela na Zebadiya, bene Yerohamu w’i Gedori."
"Mishmannah the fourth, Jeremiah the fifth,","uwa kane ni Mishumana, uwa gatanu ni Yeremiya,"
"Attai the sixth, Eliel the seventh,","uwa gatandatu ni Atayi, uw’ indwi ni Eliyeli,"
"Johanan the eighth, Elzabad the ninth,","uw’ umunani ni Yohanani, uw’ icenda ni Elizabadi,"
Jeremiah the tenth and Makbannai the eleventh.,"uw’ icumi ni Yeremiya, uw’ icumi na rimwe ni Makubanayi."
"from Judah, carrying shield and spear—6,800 armed for battle;",Abo mu Bayuda bitwaje inkinzo n’amacumu bār’ ibihumbi bitandatu n’amajana munani biteguye kurwana.
"from Simeon, warriors ready for battle—7,100;","Abo mu Basimeyoni, abantu b’abahizi b’abanyentambara, bār’ ibihumbi ndwi n’ijana."
"from Levi—4,600,",Abo mu Balewi bār’ ibihumbi bine n’amajana atandatu;
"from Ephraim, brave warriors, famous in their own clans—20,800;","Abo mu Befurayimu bār’ ibihumbi mirongwibiri n’amajana munani, abantu b’abahizi, ba rurangiranwa mu mazu ya ba sekuruza."
"from Dan, ready for battle—28,600;",Abo mu Badani bazi uburyo bgo gutondesha urugamba bār’ ibihumbi mirongwibiri n’umunani n’amajana atandatu.
"from Asher, experienced soldiers prepared for battle—40,000;","Abo mu Basheri bashobora kuja mu ntambara, bakamenya uburyo bgo gutondesha urugamba, bār’ ibihumbi mirongwine."
"Ibhar, Elishua, Elpelet,","na Ibuhari na Elishuwa na Elipeleti,"
"Nogah, Nepheg, Japhia,","na Noga na Nefegi na Yafiya,"
"Elishama, Beeliada and Eliphelet.",na Elishama na Beliyada na Elifeleti.
Once more the Philistines raided the valley;,Bukeye Abafilisitiya basubira gusagaza ubugira kabiri kur’ uwo mwonga nyene.
He called together the descendants of Aaron and the Levites:,Dawidi akoranya aba Aroni n’abandi Balewi.
Berekiah and Elkanah were to be doorkeepers for the ark.,Berekiya na Elukana ni bo bār’ abashibamyi b’iyo sandugu.
"The Lord said to Gad, David’s seer,","Uhoraho abarira Gadi, kamenyi wa Dawidi,"
Belonging to the Gershonites: Ladan and Shimei.,Bene Gerushoni bāri Ladani na Shimeyi.
The sons of Moses: Gershom and Eliezer.,Bene Mose bāri Gerushomu na Eliyezeri.
The descendants of Gershom: Shubael was the first.,"Mu ba Gerushomu, Shebuweli ni we yari mukuru;"
The sons of Izhar: Shelomith was the first.,"Muri bene Isihari, Shelomiti ni we yari mukuru."
"The sons of Mushi: Mahli, Eder and Jerimoth—three in all.",Bene Mushi bāri Mahili na Ederi na Yeremoti ukw ari batatu.
"The first lot fell to Jehoiarib, the second to Jedaiah,","Ubupfindo bga mbere bgerekana Yehoyaribu, ubga kabiri Yedaya;"
"the third to Harim, the fourth to Seorim,","ubga gatatu Harimu, ubga kane Seyorimu;"
"the fifth to Malkijah, the sixth to Mijamin,","ubga gatanu Malukiya, ubga gatandatu Miyamini;"
"the seventh to Hakkoz, the eighth to Abijah,","ubg’ indwi Hakosi, ubg’ umunani Abiya;"
"the ninth to Jeshua, the tenth to Shekaniah,","ubg’ icenda Yeshuwa, ubg’ icumi Shekaniya;"
"the eleventh to Eliashib, the twelfth to Jakim,","ubg’ icumi na rimwe Eliyashibu, ubg’ icumi na kabiri Yakimu;"
"the thirteenth to Huppah, the fourteenth to Jeshebeab,","ubg’ icumi na gatatu Hupa, ubg’ icumi na kane Yeshebeyabu;"
"the fifteenth to Bilgah, the sixteenth to Immer,","ubg’ icumi na gatanu Biluga, ubg’ icumi na gatandatu Imeri;"
"the seventeenth to Hezir, the eighteenth to Happizzez,","ubg’ icumi n’indwi Heziri, ubg’ icumi n’umunani Hapisesi;"
"the nineteenth to Pethahiah, the twentieth to Jehezkel,","ubg’ icumi n’icenda Petahiya, ubga mirongwibiri Yehezekeli;"
"the twenty-first to Jakin, the twenty-second to Gamul,","ubga mirongwibiri na rimwe Yakini, ubga mirongwibiri na kabiri Gamuli;"
the twenty-third to Delaiah and the twenty-fourth to Maaziah.,"ubga mirongwibiri na gatatu Delaya, ubga mirongwibiri na kane Mahaziya."
"As for Rehabiah, from his sons: Ishiah was the first.","ku vya Rehebiya, mu bana biwe Ishiya ni we yar’ umukuru;"
From the Izharites: Shelomoth; from the sons of Shelomoth: Jahath.,mu ba Isuhari ni Shelomoti; mu ba Shelomoti ni Yahati;
"From Mahli: Eleazar, who had no sons.","uwa Mahili yari Eleyazari, ariko nta bana b’abahungu yar’ afise;"
From Kish: the son of Kish: Jerahmeel.,"ku vya Kishi, uwo mu bana biwe ni Yerameyeli;"
"the third to Zakkur, his sons and relatives 12","ubga gatatu bgerekana Zakuri n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the fourth to Izri, his sons and relatives 12","ubga kane bgerekana Isuri n’ abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the fifth to Nethaniah, his sons and relatives 12","ubga gatanu bgerekana Netaniya n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the sixth to Bukkiah, his sons and relatives 12","ubga gatandatu bgerekana Bukiya n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the seventh to Jesarelah, his sons and relatives 12","ubg’ indwi bgerekana Yesharela n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the eighth to Jeshaiah, his sons and relatives 12","ubg’ umunani bgerekana Yeshaya n’ abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the ninth to Mattaniah, his sons and relatives 12","ubg’ icenda bgerekana Mataniya n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the tenth to Shimei, his sons and relatives 12","ubg’ icumi bgerekana Shimeyi n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the eleventh to Azarel, his sons and relatives 12","ubg’ icumi na rimwe bgerekana Azareli n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the twelfth to Hashabiah, his sons and relatives 12","ubg’ icumi na kabiri bgerekana Hashabiya n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the thirteenth to Shubael, his sons and relatives 12","ubg’ icumi na gatatu bgerekana Shubayeli n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the fourteenth to Mattithiah, his sons and relatives 12","ubg’ icumi na kane bgerekana Matitiya n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the fifteenth to Jerimoth, his sons and relatives 12","ubg’ icumi na gatanu bgerekana Yeremoti n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the sixteenth to Hananiah, his sons and relatives 12","ubg’ icumi na gatandatu bgerekana Hananiya n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the seventeenth to Joshbekashah, his sons and relatives 12","ubg’ icumi n’indwi bgerekana Yoshibekasha n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the eighteenth to Hanani, his sons and relatives 12","ubg’ icumi n’umunani bgerekana Hanani n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the nineteenth to Mallothi, his sons and relatives 12","ubg’ icumi n’ icenda bgerekana Maloti n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the twentieth to Eliathah, his sons and relatives 12","ubga mirongwibiri bgerekana Eliyata n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the twenty-first to Hothir, his sons and relatives 12","ubga mirongwibiri na rimwe bgerekana Hotiri n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the twenty-second to Giddalti, his sons and relatives 12","ubga mirongwibiri na kabiri bgerekana Gidaliti n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the twenty-third to Mahazioth, his sons and relatives 12","ubga mirongwibiri na gatatu bgerekana Mahaziyoti n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"the twenty-fourth to Romamti-Ezer, his sons and relatives 12.","ubga mirongwibiri na kane bgerekana Romamuti‐ezeri n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri nyene."
"Elam the fifth, Jehohanan the sixth and Eliehoenai the seventh.","uwa gatanu ni Elamu, uwa gatandatu ni Yehohanani, uw’ indwi ni Elihowenayi."
"From the Amramites, the Izharites, the Hebronites and the Uzzielites:","Mu ba Amuramu no mu ba Isuhari no mu ba Heburoni no mu ba Uziyeli,"
over Levi: Hashabiah son of Kemuel; over Aaron: Zadok;,mu ba Lewi yari Hashabiya mwene Kemuweli; mu ba Aroni yari Sadoki;
David son of Jesse was king over all Israel.,Dawidi mwene Isayi yaganje Abisirayeli bose.
"There remains, then, a Sabbath-rest for the people of God;",Nuko rero haracarih’ uburuhukiro bg’isabato bubīkiwe abantu b’Imana.
"And God permitting, we will do so.",Imana ni yabikunda turagenza durtyo.
"And so after waiting patiently, Abraham received what was promised.",Ni ko vyamubereye: amaze kwihangana ahabga ivyasezeranywe.
And without doubt the lesser is blessed by the greater.,Ariko nta wohakana k’uworoshe adahezagirwa n’ūmurengeye.
"but because Jesus lives forever, he has a permanent priesthood.","arik’ uyo we, kuko yamah’ ibihe bidashira, afise ubuherezi budakūrwaho."
But those sacrifices are an annual reminder of sins.,Ariko mur’ ivyo bimazi har’ icibukiriza ivyaha uk’ umwaka utashe.
with burnt offerings and sin offerings you were not pleased.,"Ibimazi vyoshejwe bidasonōye, n’ibimazi vy’ivyaha, ntivyaguhimbaye:"
This is what the ancients were commended for.,Icatumye aba kera bashingirwa intahe n’uko bari bagufise.
"Some faced jeers and flogging, and even chains and imprisonment.","Abandi bāgeragereshwa gushinyagurirwa no gukubitwa ibimoko, mbere bāshirwa mu ngoyi no mu mabohero:"
"Therefore, strengthen your feeble arms and weak knees.","Nuko mugorore amaboko acitse urudendevu, n’amavi aregarega:"
for our “God is a consuming fire.”,kukw Imana yacu ar’ umuriro utōngōra.
Keep on loving one another as brothers and sisters.,Ugukunda bene Data ni kugumeho.
Jesus Christ is the same yesterday and today and forever.,"Yesu Kristo uko yar’ ar’ ejo, n’uyu musi ni kw akiri, ni kw azokwama ibihe bidashira."
Grace be with you all.,Ubuntu bubane namwe mwese. Amen.
"The word of the Lord came to me, saying,","Nukw ijambo ry’Uhoraho rinzako,"
The word of the Lord came to me:,"Ijambo ry’Uhoraho rinzako,"
“A horrible and shocking thing has happened in the land:,Habonetse ikintu c’akumiza giteye ubgoba mu gihugu:
"I will destroy Daughter Zion, so beautiful and delicate.","Umukobga w’i Siyoni mwiza yāmikaye, nzomurandura."
"Hear what the Lord says to you, people of Israel.","Ni mwumve ijambo Uhoraho ababgira, yemwe ab’ inzu ya Isirayeli:"
Then the word of the Lord came to me:,"Maz’ ijambo ry’Uhoraho rinzako,"
